Periodo;Promedio(�C);Pp(mm);Solar output(in MWh/m2);Wheat yield
2000/01;21.12;1543.50;1.8;1118
2001/02;21.541666;1729;1.8;1449
2002/03;21.50;1572.70;1.8;1993
2003/04;21.333333;1204.60;1.8;965
2004/05;21.208333;1238.05;1.8;1236
2005/06;21.625;1140.15;1.8;1640
2006/07;21.458333;1203.20;1.8;1278
2007/08;21.166666;1197.85;1.8;1060
2008/09;21.458333;1229.65;1.8;3000
2009/10;21.125;1398.80;1.8;1000
2010/11;20.916666;1400.30;1.8;2028
2011/12;21.666666;1347.50;1.8;1465
2012/13;20.75;1130.95;1.8;1046

