Periodo;Promedio(ºC)
2000/01;18.16667
2001/02;18.31667
2002/03;18.13132
2003/04;18.22500
2004/05;18.34792
2005/06;18.38958
2006/07;18.10625
2007/08;18.35833
2008/09;18.82688
2009/10;18.52896
2010/11;18.36250
2011/12;18.49375
2012/13;18.61458
2013/14;18.56875
2014/15;18.73542
2015/16;18.48333
2016/17;18.59167
2017/18;18.90416
2018/19;18.88333
2019/20;18.58333
