Periodo;Pp(mm)
2000/01;1693.55
2001/02;1686.70
2002/03;1582.25
2003/04;1315.30
2004/05;1086.80
2005/06;1183.50
2006/07;1297.20
2007/08;1017.60
2008/09;1023.20
2009/10;1337.85
2010/11;1139.10
2011/12;1288.70
2012/13;1398.00
2013/14;1564.40
2014/15;1570.10
2015/16;1190.40
2016/17;1208.45
2017/18;1332.90
2018/19;1340.35
2019/20;1022.25
